_id,aID,arcLength,condition,currStrokeNum,demo_dur,demo_seq,dev_mode,endStrokeTime,eventType,file_id,gameID,hitID,iterationName,phase,prompt,simplifyParam,startResponseTime,startStrokeTime,stim_url,svg,time,toy_type,toy_variant,trialNum,type,version,workerId
5e8fbadf34c2a86d15ef03f6,3O6CYIULEH1LVF5ZZSVQQ69KA4EUW4,268.269796237877,explanatory,11,30,BAAB,False,1586477791018.0,stroke,levers_1_BAAB_30,8311-fcc6caca-cdbd-4ff0-9415-77b90229a1f1,386T3MLZMRVR28Z7CGWYZZM62K6801,run1,draw,<colexp>Draw how this artifact <i>functions</i> for the red alien!</colexp>,10,1586477738006.0,1586477789109.0,https://causaldraw.s3.amazonaws.com/levers_1_BAAB_30.mp4,"M393,351c-88.97642,0 -180.42015,11 -268,11",1586477791020.0,levers,1,0,jspsych-cued-drawing,12,A36GTTPW17HUL1
5e8fbae434c2a86d15ef03f8,3O6CYIULEH1LVF5ZZSVQQ69KA4EUW4,14.043938027681959,explanatory,12,30,BAAB,False,1586477795720.0,stroke,levers_1_BAAB_30,8311-fcc6caca-cdbd-4ff0-9415-77b90229a1f1,386T3MLZMRVR28Z7CGWYZZM62K6801,run1,draw,<colexp>Draw how this artifact <i>functions</i> for the red alien!</colexp>,10,1586477738006.0,1586477795229.0,https://causaldraw.s3.amazonaws.com/levers_1_BAAB_30.mp4,"M408,372c0,5.07904 -1,8.88423 -1,14",1586477795721.0,levers,1,0,jspsych-cued-drawing,12,A36GTTPW17HUL1
5e8fbae634c2a86d15ef03fa,3O6CYIULEH1LVF5ZZSVQQ69KA4EUW4,14.0,explanatory,13,30,BAAB,False,1586477797392.0,stroke,levers_1_BAAB_30,8311-fcc6caca-cdbd-4ff0-9415-77b90229a1f1,386T3MLZMRVR28Z7CGWYZZM62K6801,run1,draw,<colexp>Draw how this artifact <i>functions</i> for the red alien!</colexp>,10,1586477738006.0,1586477796715.0,https://causaldraw.s3.amazonaws.com/levers_1_BAAB_30.mp4,"M343,380c0,4.66667 0,9.33333 0,14",1586477797393.0,levers,1,0,jspsych-cued-drawing,12,A36GTTPW17HUL1
5e8fbae834c2a86d15ef03fb,3O6CYIULEH1LVF5ZZSVQQ69KA4EUW4,23.63557668472762,explanatory,14,30,BAAB,False,1586477799686.0,stroke,levers_1_BAAB_30,8311-fcc6caca-cdbd-4ff0-9415-77b90229a1f1,386T3MLZMRVR28Z7CGWYZZM62K6801,run1,draw,<colexp>Draw how this artifact <i>functions</i> for the red alien!</colexp>,10,1586477738006.0,1586477798992.0,https://causaldraw.s3.amazonaws.com/levers_1_BAAB_30.mp4,"M270,380c-3.05099,0 -2,19.12217 -2,23",1586477799687.0,levers,1,0,jspsych-cued-drawing,12,A36GTTPW17HUL1
5e8fbaef34c2a86d15ef03fc,3O6CYIULEH1LVF5ZZSVQQ69KA4EUW4,93.0583832336512,explanatory,15,30,BAAB,False,1586477806374.0,stroke,levers_1_BAAB_30,8311-fcc6caca-cdbd-4ff0-9415-77b90229a1f1,386T3MLZMRVR28Z7CGWYZZM62K6801,run1,draw,<colexp>Draw how this artifact <i>functions</i> for the red alien!</colexp>,10,1586477738006.0,1586477804542.0,https://causaldraw.s3.amazonaws.com/levers_1_BAAB_30.mp4,"M337,351c0,-31.87955 -3,-61.60464 -3,-93",1586477806376.0,levers,1,0,jspsych-cued-drawing,12,A36GTTPW17HUL1
5e8fbaf234c2a86d15ef03fd,3RWE2M8QWLAFSZK59KQJ5G8M136N03,309.28177270366604,depictive,1,30,BAAB,False,1586477809560.0,stroke,gears_1_BAAB_30,3420-94c6faa4-2c3d-4f6f-a409-e9484a130847,386T3MLZMRVR28Z7CGWYZZM62K6801,run1,draw,<coldep>Draw what this artifact <i>looks like</i> for the blue alien!</coldep>,10,1586477804188.0,1586477807563.0,https://causaldraw.s3.amazonaws.com/gears_1_BAAB_30.mp4,"M161,138c-43.61208,0 -34.38536,49.61464 -13,71c8.61606,8.61606 22.45155,6.6559 33,9c10.15746,2.25721 19.33151,3.22374 28,-4c38.19255,-31.82713 8.96086,-79.75979 -32,-90c-5.97524,-1.49381 -26,7.02207 -26,12",1586477809573.0,gears,1,0,jspsych-cued-drawing,15,A4T4577P6JL6R
5e8fbaf334c2a86d15ef03ff,3O6CYIULEH1LVF5ZZSVQQ69KA4EUW4,100.74622511607959,explanatory,16,30,BAAB,False,1586477810071.0,stroke,levers_1_BAAB_30,8311-fcc6caca-cdbd-4ff0-9415-77b90229a1f1,386T3MLZMRVR28Z7CGWYZZM62K6801,run1,draw,<colexp>Draw how this artifact <i>functions</i> for the red alien!</colexp>,10,1586477738006.0,1586477808631.0,https://causaldraw.s3.amazonaws.com/levers_1_BAAB_30.mp4,"M368,349c0,-8.23043 -4.54526,-15.99892 -6,-24c-2.23864,-12.31254 0,-27.3852 0,-40c0,-11.10833 1,-22.47209 1,-33c0,-1.33333 0.56667,-2 -1,-2",1586477810077.0,levers,1,0,jspsych-cued-drawing,12,A36GTTPW17HUL1
5e8fbaf434c2a86d15ef0400,3RWE2M8QWLAFSZK59KQJ5G8M136N03,370.8226954152331,depictive,2,30,BAAB,False,1586477812021.0,stroke,gears_1_BAAB_30,3420-94c6faa4-2c3d-4f6f-a409-e9484a130847,386T3MLZMRVR28Z7CGWYZZM62K6801,run1,draw,<coldep>Draw what this artifact <i>looks like</i> for the blue alien!</coldep>,10,1586477804188.0,1586477810243.0,https://causaldraw.s3.amazonaws.com/gears_1_BAAB_30.mp4,"M230,78c-49.68034,24.84017 13.62254,132.90197 71,87c11.25432,-9.00346 15.41107,-21.42491 21,-34c11.56174,-26.01391 6.98355,-37.76233 -16,-55c-10.78046,-8.08534 -35.79304,-22.06899 -51,-17c-6.17479,2.05826 -27,15.19064 -27,23c0,1.94872 -1.60513,5 1,5",1586477812026.0,gears,1,0,jspsych-cued-drawing,15,A4T4577P6JL6R
5e8fbaf534c2a86d15ef0402,3O6CYIULEH1LVF5ZZSVQQ69KA4EUW4,89.99479139257912,explanatory,17,30,BAAB,False,1586477812588.0,stroke,levers_1_BAAB_30,8311-fcc6caca-cdbd-4ff0-9415-77b90229a1f1,386T3MLZMRVR28Z7CGWYZZM62K6801,run1,draw,<colexp>Draw how this artifact <i>functions</i> for the red alien!</colexp>,10,1586477738006.0,1586477811818.0,https://causaldraw.s3.amazonaws.com/levers_1_BAAB_30.mp4,"M196,356c0,-19.55366 -0.75462,-39.71769 2,-59c1.44842,-10.13897 7,-19.95426 7,-30",1586477812593.0,levers,1,0,jspsych-cued-drawing,12,A36GTTPW17HUL1
5e8fbaf534c2a86d15ef0403,3RWE2M8QWLAFSZK59KQJ5G8M136N03,45.731808716961226,depictive,3,30,BAAB,False,1586477813169.0,stroke,gears_1_BAAB_30,3420-94c6faa4-2c3d-4f6f-a409-e9484a130847,386T3MLZMRVR28Z7CGWYZZM62K6801,run1,draw,<coldep>Draw what this artifact <i>looks like</i> for the blue alien!</coldep>,10,1586477804188.0,1586477812521.0,https://causaldraw.s3.amazonaws.com/gears_1_BAAB_30.mp4,"M265,109c-10.02469,0 19.89748,6.89748 8,-5c-6.061,-6.061 -19.65945,12 -13,12",1586477813169.0,gears,1,0,jspsych-cued-drawing,15,A4T4577P6JL6R
